PARTY_ID,TYPE,SEATS_TOTAL,GROUP_ID,UPDATE_STATUS,UPDATE_TIME
DE01,COALITION,34,,CONSTITUTIVE,
DE02,PARTY,29,GP1401,CONSTITUTIVE,
DE03,PARTY,5,GP1401,CONSTITUTIVE,
DE04,PARTY,27,GP1402,CONSTITUTIVE,
DE05,PARTY,1,GP1403,CONSTITUTIVE,
DE06,PARTY,7,GP1403,CONSTITUTIVE,
DE07,PARTY,1,GP1404,CONSTITUTIVE,
DE08,PARTY,3,GP1404,CONSTITUTIVE,
DE09,PARTY,1,GP1405,CONSTITUTIVE,
DE10,PARTY,7,GP1405,CONSTITUTIVE,
DE11,PARTY,1,GP1406,CONSTITUTIVE,
DE12,PARTY,1,GP1406,CONSTITUTIVE,
DE13,PARTY,11,GP1406,CONSTITUTIVE,
DE14,PARTY,1,NA,CONSTITUTIVE,
DE15,PARTY,1,NA,CONSTITUTIVE,
