Bundesland,Prozente,GueltigeWaelende,CDU/CSU,SPD,GRÜNE,FDP,AfD,DIELINKE,
Baden-Württemberg,77.8,5.942.743,1.767.316,1.247.455,1.058.334,711.697,561.058,175.691
Bayern,79.9,7.553.116,2.788.048,1.316.303,1.023.735,579.804,634.098,187.530
Berlin,69.5,1.682.119,339.234,366.569,346.880,106.292,151.449,238.776,
Brandenburg,75.6,1.527.758,283.668,437.753,120.005,121.094,279.978,142.628
Bremen,71.9,327.057,67.992,108.432,60.490,22.398,21.565,25.923
Hamburg,77.8,1.003.324,179.572,334.831,237.328,84.603,49.828,72.507
Hessen,76.2,3.295.933,909.147,1.000.129,480.535,315.712,285.337,130.457
Mecklenburg-Vorpommern,71.1,918.086,180.669,261.408,62.664,66.328,169.977,116.033
Niedersachsen,74.7,4.518.572,1.323.070,1.603.785,646.848,347.802,292.032,142.785
Nordrhein-Westfalen,76.4,9.868.519,2.973.458,3.068.628,1.500.696,851.337,705.020,317.869
Rheinland-Pfalz,77.2,2.325.669,686.825,697.183,247.246,193.360,205.790,84.143
Saarland,77.3,573.113,159.323,208.329,31.091,46.793,56.236,30.211
Sachsen,76.5,2.459.579,546.282,410.769,171.384,220.062,632.881,282.800
Sachsen-Anhalt,67.9,1.200.178,299.363,293.197,64.326,96.084,242.065,127.576
Schleswig-Holstein,78.2,1.760.013,465.975,530.301,315.633,167.191,113.641,55.523
Thüringen,74.9,1.263.081,264.026,299.024,68.185,89.008,298.971,155.618

